SecurityId,AssetName,ExchangeType,SchemaName
CUMMINSIND,CUMMINS INDIA LTD.,BSE,ExchangeList
TATACOMM,TATA COMMUNICATIONS LTD.,BSE,ExchangeList
ABBOTINDIA,ABBOTT INDIA LTD.,BSE,ExchangeList
BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,BSE,ExchangeList
BHARATFORG,BHARAT FORGE LTD.,BSE,ExchangeList
ESCORTS,Escorts Kubota Ltd,BSE,ExchangeList
HINDMOTORS,HINDUSTAN MOTORS LTD.,BSE,ExchangeList
LT,LARSEN & TOUBRO LTD.,BSE,ExchangeList
M&M,MAHINDRA & MAHINDRA LTD.,BSE,ExchangeList
BOSCHLTD,BOSCH LTD.,BSE,ExchangeList
BPCL,BHARAT PETROLEUM CORPORATION LTD.,BSE,ExchangeList
SIEMENS,SIEMENS LTD.,BSE,ExchangeList
TATAMOTORS,TATA MOTORS LTD.,BSE,ExchangeList
VOLTAS,VOLTAS LTD.,BSE,ExchangeList
GESHIP,GREAT EASTERN SHIPPING CO.LTD.,BSE,ExchangeList
DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,BSE,ExchangeList
EXCELINDUS,EXCEL INDUSTRIES LTD.,BSE,ExchangeList
GRWRHITECH,Garware Hi-Tech Films Ltd,BSE,ExchangeList
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,BSE,ExchangeList
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,BSE,ExchangeList
NOVARTIND,NOVARTIS INDIA LTD.,BSE,ExchangeList
SANOFI,Sanofi India Ltd,BSE,ExchangeList
PFIZER,PFIZER LTD.,BSE,ExchangeList
GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,BSE,ExchangeList
HINDUNILVR,HINDUSTAN UNILEVER LTD.,BSE,ExchangeList
AKZOINDIA,Akzo Nobel India Limited,BSE,ExchangeList
NOCIL,NOCIL LTD.,BSE,ExchangeList
TATACHEM,TATA CHEMICALS LTD.,BSE,ExchangeList
TNPETRO,TAMILNADU PETROPRODUCTS LTD.,BSE,ExchangeList
ZUARIIND,Zuari Industries Ltd,BSE,ExchangeList
NESTLEIND,NESTLE INDIA LTD.,BSE,ExchangeList
TATACONSUM,Tata Consumer Products Ltd,BSE,ExchangeList
ASIANPAINT,ASIAN PAINTS LTD.,BSE,ExchangeList
BRITANNIA,BRITANNIA INDUSTRIES LTD.,BSE,ExchangeList
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,BSE,ExchangeList
EIHOTEL,EIH LTD.,BSE,ExchangeList
INDHOTEL,INDIAN HOTELS CO.LTD.,BSE,ExchangeList
CASTROLIND,CASTROL INDIA LTD.,BSE,ExchangeList
ITC,ITC LTD.,BSE,ExchangeList
APOLLOTYRE,APOLLO TYRES LTD.,BSE,ExchangeList
CEATLTD,CEAT LTD.,BSE,ExchangeList
MODIRUBBER,MODI RUBBER LTD.,BSE,ExchangeList
FINPIPE,FINOLEX INDUSTRIES LTD.,BSE,ExchangeList
SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.,BSE,ExchangeList
ZGOLDINV,GOLD ROCK INVESTMENTS LTD.,BSE,ExchangeList
PEOPLIN,PEOPLES INVESTMENTS LTD.,BSE,ExchangeList
DSINVEST,DALAL STREET INVESTMENTS LTD.,BSE,ExchangeList
CENTRUM,CENTRUM CAPITAL LTD.,BSE,ExchangeList
KARTKIN,KARTIK INVESTMENTS TRUST LTD.,BSE,ExchangeList
KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.,BSE,ExchangeList
